DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Able to be mapped at RAW
73,NSSC NIT,,Table 25A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
74,NSSC NIT,,Table 25A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
75,NSSC NIT,,Table 25A,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
76,NSSC NIT,,Table 25A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
77,NSSC NIT,,Table 25B,Aggregate,Number of students,"Table showing number of students - Part-time,non-ATSI,M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Parttime; Male; Non-Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
78,NSSC NIT,,Table 25B,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
79,NSSC NIT,,Table 25B,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
80,NSSC NIT,,Table 25B,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
81,NSSC NIT,,Table 25B,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,Calculated,,
82,NSSC NIT,,Table 25B,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
83,NSSC NIT,,Table 25C,Aggregate,Number of students,"Table showing number of students - Part-time, ATSI -notstated, M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Part-time; Male; Aboriginal and Torres Strait Islander- Not Stated;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
84,NSSC NIT,,Table 25C,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
85,NSSC NIT,,Table 25C,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
86,NSSC NIT,,Table 25C,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
87,NSSC NIT,,Table 25C,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,Calculated,
88,NSSC NIT,,Table 25C,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
89,NSSC NIT,,Table 26A,Aggregate,Number of students,"Table showing number of students - Part-time,ATSI,  F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Part time; Female; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
90,NSSC NIT,,Table 26A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
91,NSSC NIT,,Table 26A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
92,NSSC NIT,,Table 26A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
93,NSSC NIT,,Table 26A,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,Calculated,
94,NSSC NIT,,Table 26A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
95,NSSC NIT,,Table 26B,Aggregate,Number of students,"Table showing number of students - Part-time,non-ATSI,F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Parttime; Male; Non-Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
96,NSSC NIT,,Table 26B,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
97,NSSC NIT,,Table 26B,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
98,NSSC NIT,,Table 26B,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
99,NSSC NIT,,Table 26B,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,Calculated,,
100,NSSC NIT,,Table 26B,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
101,NSSC NIT,,Table 26C,Aggregate,Number of students,"Table showing number of students - Part-time, ATSI -notstated, F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Part-time; Female; Aboriginal and Torres Strait Islander- Not Stated;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
102,NSSC NIT,,Table 26C,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
103,NSSC NIT,,Table 26C,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
104,NSSC NIT,,Table 26C,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
105,NSSC NIT,,Table 26C,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,Calculated,,
106,NSSC NIT,,Table 26C,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
